number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_num_train_epochs,params_per_device_train_batch_size,params_warmup_steps,params_weight_decay,state
34,0.44324136008918624,2024-03-30 19:21:15.943679,2024-03-30 19:23:29.044989,0 days 00:02:13.101310,1.3420815901110775e-06,8,8,353,0.0026050881006168787,COMPLETE
35,0.4241467569211012,2024-03-30 19:23:29.046021,2024-03-30 19:25:32.038287,0 days 00:02:02.992266,4.560223375296791e-06,9,8,465,0.009715999134816177,COMPLETE
36,0.42948619650582287,2024-03-30 19:25:32.039540,2024-03-30 19:26:00.933986,0 days 00:00:28.894446,4.0262406392750696e-07,4,32,81,0.00031887039017752393,COMPLETE
37,0.41893410218235166,2024-03-30 19:26:00.934984,2024-03-30 19:27:02.388660,0 days 00:01:01.453676,1.0911073700665686e-06,7,16,418,0.002898693954612753,COMPLETE
38,0.3842558794185149,2024-03-30 19:27:02.389643,2024-03-30 19:27:57.331920,0 days 00:00:54.942277,2.6219527104992996e-05,4,8,390,0.0011305781300391185,COMPLETE
39,0.4587244108284905,2024-03-30 19:27:57.332914,2024-03-30 19:28:59.421722,0 days 00:01:02.088808,7.68998061461382e-05,10,64,333,0.004593768628121436,COMPLETE
40,0.18114143920595532,2024-03-30 19:28:59.422562,2024-03-30 19:29:42.559697,0 days 00:00:43.137135,0.0008502080131713015,6,32,398,0.006302605587521874,COMPLETE
41,0.18114143920595532,2024-03-30 19:29:42.560469,2024-03-30 19:30:44.777315,0 days 00:01:02.216846,5.530101952027796e-05,10,64,469,0.005193696000501135,COMPLETE
42,0.18114143920595532,2024-03-30 19:30:44.778021,2024-03-30 19:31:46.814867,0 days 00:01:02.036846,1.0273664476310495e-05,10,64,303,0.0022170720903561024,COMPLETE
43,0.05226480836236934,2024-03-30 19:31:46.815953,2024-03-30 19:32:42.305425,0 days 00:00:55.489472,8.666404673539928e-05,9,64,327,0.0010313865256506968,COMPLETE
44,0.18114143920595532,2024-03-30 19:32:42.306429,2024-03-30 19:33:31.681360,0 days 00:00:49.374931,7.293178221024262e-05,8,64,202,0.004056868413169274,COMPLETE
45,0.4341370195607149,2024-03-30 19:33:31.682328,2024-03-30 19:34:58.897988,0 days 00:01:27.215660,1.9551082333694265e-05,10,16,423,1.6283866945378465e-05,COMPLETE
46,0.4582388684790654,2024-03-30 19:34:58.898914,2024-03-30 19:36:36.942460,0 days 00:01:38.043546,3.063861030762907e-06,7,8,43,6.601991181693585e-05,COMPLETE
47,0.4509372498441707,2024-03-30 19:36:36.943513,2024-03-30 19:37:05.681394,0 days 00:00:28.737881,4.7131443072376555e-07,4,32,148,0.0004986382074498444,COMPLETE
48,0.42228796216721576,2024-03-30 19:37:05.682249,2024-03-30 19:37:12.815291,0 days 00:00:07.133042,0.0001462112667475871,1,64,276,0.0032898199435016408,COMPLETE
49,0.4348514698386328,2024-03-30 19:37:12.816110,2024-03-30 19:37:57.349135,0 days 00:00:44.533025,3.685569834520352e-05,5,16,338,0.00179100613947362,COMPLETE
