number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_num_train_epochs,state
41,0.4183839675940731,2024-04-02 03:02:38.858940,2024-04-02 03:04:51.287294,0 days 00:02:12.428354,2.602407870131094e-06,30,COMPLETE
42,0.4183839675940731,2024-04-02 03:04:51.288053,2024-04-02 03:06:50.276807,0 days 00:01:58.988754,3.5581677812646614e-06,27,COMPLETE
43,0.4183839675940731,2024-04-02 03:06:50.277595,2024-04-02 03:08:57.866180,0 days 00:02:07.588585,1.9621832304306718e-06,29,COMPLETE
44,0.4183839675940731,2024-04-02 03:08:57.866842,2024-04-02 03:10:56.670824,0 days 00:01:58.803982,2.497149472588702e-06,27,COMPLETE
45,0.4183839675940731,2024-04-02 03:10:56.671557,2024-04-02 03:12:47.015729,0 days 00:01:50.344172,3.452002284957346e-05,25,COMPLETE
46,0.4183839675940731,2024-04-02 03:12:47.016362,2024-04-02 03:14:58.531413,0 days 00:02:11.515051,1.8873490899970112e-05,30,COMPLETE
47,0.4183839675940731,2024-04-02 03:14:58.532256,2024-04-02 03:17:06.001118,0 days 00:02:07.468862,1.6824207693642308e-06,29,COMPLETE
48,0.4183839675940731,2024-04-02 03:17:06.001841,2024-04-02 03:18:15.145092,0 days 00:01:09.143251,4.0743382563353335e-06,16,COMPLETE
49,0.4183839675940731,2024-04-02 03:18:15.145669,2024-04-02 03:20:01.003287,0 days 00:01:45.857618,4.953786307501842e-06,24,COMPLETE
50,0.4183839675940731,2024-04-02 03:20:01.004157,2024-04-02 03:21:55.611491,0 days 00:01:54.607334,1.572006928173674e-05,26,COMPLETE
51,0.4183839675940731,2024-04-02 03:21:55.612169,2024-04-02 03:23:37.524997,0 days 00:01:41.912828,5.299323915502129e-07,23,COMPLETE
52,0.4183839675940731,2024-04-02 03:23:37.525730,2024-04-02 03:25:32.231898,0 days 00:01:54.706168,8.033800705815137e-06,26,COMPLETE
53,0.4183839675940731,2024-04-02 03:25:32.232736,2024-04-02 03:27:35.295082,0 days 00:02:03.062346,1.224165577665767e-06,28,COMPLETE
54,0.4183839675940731,2024-04-02 03:27:35.295819,2024-04-02 03:29:46.905801,0 days 00:02:11.609982,8.697060240237155e-07,30,COMPLETE
55,0.4183839675940731,2024-04-02 03:29:46.906463,2024-04-02 03:31:17.490766,0 days 00:01:30.584303,2.264036624298473e-05,21,COMPLETE
56,0.4183839675940731,2024-04-02 03:31:17.491494,2024-04-02 03:33:24.937903,0 days 00:02:07.446409,3.2634004133030473e-06,29,COMPLETE
57,0.4183839675940731,2024-04-02 03:33:24.938656,2024-04-02 03:35:15.377838,0 days 00:01:50.439182,6.75476492612552e-07,25,COMPLETE
58,0.4183839675940731,2024-04-02 03:35:15.378659,2024-04-02 03:37:14.365644,0 days 00:01:58.986985,1.0846755593601666e-05,27,COMPLETE
59,0.4183839675940731,2024-04-02 03:37:14.366398,2024-04-02 03:38:51.958991,0 days 00:01:37.592593,9.909641428491303e-07,22,COMPLETE
60,0.4183839675940731,2024-04-02 03:38:51.959767,2024-04-02 03:40:54.756807,0 days 00:02:02.797040,5.08532679565393e-07,28,COMPLETE
61,0.4183839675940731,2024-04-02 03:40:54.757483,2024-04-02 03:41:55.293093,0 days 00:01:00.535610,9.313905706469484e-06,14,COMPLETE
62,0.4183839675940731,2024-04-02 03:41:55.294448,2024-04-02 03:43:17.173922,0 days 00:01:21.879474,5.540491284452004e-06,19,COMPLETE
63,0.4183839675940731,2024-04-02 03:43:17.174577,2024-04-02 03:44:09.281926,0 days 00:00:52.107349,7.342977390942628e-06,12,COMPLETE
64,0.4183839675940731,2024-04-02 03:44:09.282564,2024-04-02 03:45:22.644152,0 days 00:01:13.361588,6.317658633682335e-06,17,COMPLETE
65,0.4183839675940731,2024-04-02 03:45:22.644827,2024-04-02 03:46:10.503237,0 days 00:00:47.858410,1.503925209225531e-05,11,COMPLETE
66,0.4183839675940731,2024-04-02 03:46:10.504049,2024-04-02 03:47:15.365954,0 days 00:01:04.861905,1.1854792868546609e-05,15,COMPLETE
67,0.4183839675940731,2024-04-02 03:47:15.366729,2024-04-02 03:49:27.043827,0 days 00:02:11.677098,1.4674838729251492e-06,30,COMPLETE
68,0.4183839675940731,2024-04-02 03:49:27.044595,2024-04-02 03:51:08.982993,0 days 00:01:41.938398,9.517488309304998e-06,23,COMPLETE
69,0.4183839675940731,2024-04-02 03:51:08.983721,2024-04-02 03:53:16.687990,0 days 00:02:07.704269,2.5838838602856642e-06,29,COMPLETE
70,0.4183839675940731,2024-04-02 03:53:16.688624,2024-04-02 03:54:34.459361,0 days 00:01:17.770737,1.892636830276558e-06,18,COMPLETE
71,0.4183839675940731,2024-04-02 03:54:34.460220,2024-04-02 03:55:22.295515,0 days 00:00:47.835295,7.325413836898846e-06,11,COMPLETE
72,0.4183839675940731,2024-04-02 03:55:22.296189,2024-04-02 03:56:18.537586,0 days 00:00:56.241397,1.3277901888980138e-05,13,COMPLETE
73,0.4183839675940731,2024-04-02 03:56:18.538252,2024-04-02 03:57:06.341942,0 days 00:00:47.803690,1.6926691767502998e-05,11,COMPLETE
74,0.4183839675940731,2024-04-02 03:57:06.342576,2024-04-02 03:57:58.375406,0 days 00:00:52.032830,5.798753961000157e-06,12,COMPLETE
75,0.4183839675940731,2024-04-02 03:57:58.376177,2024-04-02 03:59:24.673278,0 days 00:01:26.297101,1.0763770455911286e-05,20,COMPLETE
76,0.4183839675940731,2024-04-02 03:59:24.674010,2024-04-02 04:00:08.363401,0 days 00:00:43.689391,4.468859878455326e-06,10,COMPLETE
77,0.4183839675940731,2024-04-02 04:00:08.364070,2024-04-02 04:01:54.374152,0 days 00:01:46.010082,2.0787230977212064e-05,24,COMPLETE
78,0.4183839675940731,2024-04-02 04:01:54.375108,2024-04-02 04:02:50.626645,0 days 00:00:56.251537,8.484098855205275e-06,13,COMPLETE
79,0.4183839675940731,2024-04-02 04:02:50.627378,2024-04-02 04:04:49.373918,0 days 00:01:58.746540,3.8946891815292116e-06,27,COMPLETE
80,0.4183839675940731,2024-04-02 04:04:49.374447,2024-04-02 04:05:54.335726,0 days 00:01:04.961279,2.285259137996409e-06,15,COMPLETE
81,0.4183839675940731,2024-04-02 04:05:54.336584,2024-04-02 04:07:03.582163,0 days 00:01:09.245579,3.0227925732284792e-06,16,COMPLETE
82,0.4183839675940731,2024-04-02 04:07:03.582895,2024-04-02 04:09:15.146331,0 days 00:02:11.563436,5.34324396702149e-06,30,COMPLETE
83,0.4183839675940731,2024-04-02 04:09:15.147009,2024-04-02 04:10:24.184263,0 days 00:01:09.037254,7.018058680867505e-06,16,COMPLETE
84,0.4183839675940731,2024-04-02 04:10:24.185146,2024-04-02 04:12:27.360344,0 days 00:02:03.175198,1.2535111466768103e-05,28,COMPLETE
85,0.4183839675940731,2024-04-02 04:12:27.361182,2024-04-02 04:13:27.905747,0 days 00:01:00.544565,9.543485892360814e-06,14,COMPLETE
