number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_weight_decay,state
32,0.6350144482610562,2024-04-18 14:19:03.270758,2024-04-18 14:19:57.013080,0 days 00:00:53.742322,48,0.0002681783674513392,0.017710529600364566,COMPLETE
33,0.6398460105696355,2024-04-18 14:19:57.013852,2024-04-18 14:20:49.542808,0 days 00:00:52.528956,48,8.423556355968196e-06,0.011448711623305529,COMPLETE
34,0.5975858974061252,2024-04-18 14:20:49.543712,2024-04-18 14:21:42.304369,0 days 00:00:52.760657,48,0.0001504792524623044,0.0403695441049037,COMPLETE
35,0.6266475956359429,2024-04-18 14:21:42.305174,2024-04-18 14:22:35.029614,0 days 00:00:52.724440,48,0.0003404716055765995,0.01809822535273954,COMPLETE
36,0.6052731337480559,2024-04-18 14:22:35.030422,2024-04-18 14:23:28.611344,0 days 00:00:53.580922,32,0.0004941599231441367,0.014486319846189706,COMPLETE
37,0.633737554137431,2024-04-18 14:23:28.612130,2024-04-18 14:24:23.355332,0 days 00:00:54.743202,16,5.46089822881394e-06,0.034774458755399404,COMPLETE
38,0.6262683200302837,2024-04-18 14:24:23.355913,2024-04-18 14:25:16.908146,0 days 00:00:53.552233,32,9.084657794004297e-05,0.008670023120387844,COMPLETE
39,0.6378326417434218,2024-04-18 14:25:16.908987,2024-04-18 14:26:10.588551,0 days 00:00:53.679564,48,4.181454713122528e-05,1.9398395131525054e-05,COMPLETE
40,0.5703943429628452,2024-04-18 14:26:10.589273,2024-04-18 14:27:04.950285,0 days 00:00:54.361012,32,0.0001807780467037403,0.029683588868050143,COMPLETE
41,0.5941117005809313,2024-04-18 14:27:04.951141,2024-04-18 14:27:57.579344,0 days 00:00:52.628203,48,6.996084360873867e-06,0.010533385187564841,COMPLETE
42,0.6008811858076565,2024-04-18 14:27:57.580132,2024-04-18 14:28:50.382642,0 days 00:00:52.802510,48,6.3863887428134095e-06,0.0062036079213125895,COMPLETE
43,0.6025111106274784,2024-04-18 14:28:50.383453,2024-04-18 14:29:43.436772,0 days 00:00:53.053319,48,2.2891227908408345e-06,0.0048902992693973905,COMPLETE
44,0.6337444228271869,2024-04-18 14:29:43.437606,2024-04-18 14:30:36.084118,0 days 00:00:52.646512,48,2.4864377888730637e-05,0.010521110883978991,COMPLETE
45,0.6273585070340535,2024-04-18 14:30:36.084855,2024-04-18 14:31:28.346100,0 days 00:00:52.261245,48,0.00030361460393109075,0.01851521181422542,COMPLETE
46,0.6152457252482966,2024-04-18 14:31:28.346816,2024-04-18 14:32:23.032577,0 days 00:00:54.685761,16,0.00015639242814584038,0.001851169687663471,COMPLETE
47,0.5843103592345749,2024-04-18 14:32:23.033339,2024-04-18 14:33:15.753434,0 days 00:00:52.720095,48,0.0003970563188550322,0.023727233888929,COMPLETE
48,0.595367344843526,2024-04-18 14:33:15.754218,2024-04-18 14:34:07.700879,0 days 00:00:51.946661,48,3.55089430568896e-06,0.012791352721636137,COMPLETE
49,0.604313939052942,2024-04-18 14:34:07.701600,2024-04-18 14:35:00.008623,0 days 00:00:52.307023,48,9.543066463904479e-06,0.020530550238278183,COMPLETE
50,0.5937009946309353,2024-04-18 14:35:00.009290,2024-04-18 14:35:52.906056,0 days 00:00:52.896766,32,0.00028745551184925373,0.016166983852439656,COMPLETE
51,0.6510943814703045,2024-04-18 14:35:52.906812,2024-04-18 14:36:45.038443,0 days 00:00:52.131631,48,5.71727924413908e-05,0.04867058756326849,COMPLETE
52,0.6443215634288045,2024-04-18 14:36:45.039245,2024-04-18 14:37:36.943004,0 days 00:00:51.903759,48,0.00021437874625556848,0.04689944498382843,COMPLETE
53,0.6377494966859303,2024-04-18 14:37:36.943788,2024-04-18 14:38:28.914212,0 days 00:00:51.970424,48,0.00022232972049826885,0.04531737766076323,COMPLETE
54,0.6420699075214402,2024-04-18 14:38:28.914976,2024-04-18 14:39:21.623657,0 days 00:00:52.708681,48,7.627366904605165e-05,0.04886843618787715,COMPLETE
55,0.6355348313014216,2024-04-18 14:39:21.624411,2024-04-18 14:40:13.579669,0 days 00:00:51.955258,48,0.00015057880965106194,0.04855206249640948,COMPLETE
56,0.6364563996088739,2024-04-18 14:40:13.580493,2024-04-18 14:41:05.471899,0 days 00:00:51.891406,48,4.730530910471003e-05,0.041968286034635455,COMPLETE
57,0.632633332141642,2024-04-18 14:41:05.472650,2024-04-18 14:41:57.545661,0 days 00:00:52.073011,48,0.00020800122966730642,0.049994442813334816,COMPLETE
58,0.632633332141642,2024-04-18 14:41:57.546391,2024-04-18 14:42:49.634139,0 days 00:00:52.087748,48,0.00038224157367631946,0.04643188612648445,COMPLETE
59,0.632633332141642,2024-04-18 14:42:49.634881,2024-04-18 14:43:41.626077,0 days 00:00:51.991196,48,6.183266518806807e-05,0.04291358450028845,COMPLETE
60,0.632633332141642,2024-04-18 14:43:41.626854,2024-04-18 14:44:34.166183,0 days 00:00:52.539329,48,0.0001309359860149967,0.04007304163878092,COMPLETE
61,0.632633332141642,2024-04-18 14:44:34.166914,2024-04-18 14:45:25.854016,0 days 00:00:51.687102,48,8.112341940982626e-05,0.04647944958575978,COMPLETE
62,0.6268169093681825,2024-04-18 14:45:25.854762,2024-04-18 14:46:17.747799,0 days 00:00:51.893037,48,0.00025082634645861267,0.04427283383031183,COMPLETE
63,0.6264949711241271,2024-04-18 14:46:17.748573,2024-04-18 14:47:09.529842,0 days 00:00:51.781269,48,0.00010769170028193503,0.0483219636166309,COMPLETE
64,0.6264949711241271,2024-04-18 14:47:09.530575,2024-04-18 14:48:01.448357,0 days 00:00:51.917782,48,0.00019260933860076692,0.04675896793379753,COMPLETE
